"source_id","path","source_type","author","status","notes"
"SRC-EXT-001","外部素材/2026-07-13_AI原生组织变革-视频逐字稿.md","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-079","外部素材/2026-07-26_南宁OPC白皮书-城市实操卷.pdf","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-078","外部素材/2026-07-26_OPC理论体系与法规指引-理论法规卷.pdf","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-077","外部素材/2026-07-26_OPC实战框架集-方法工具卷.pdf","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-002","外部知识/_来源索引.md","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-MDL-004","外部知识/_pdf提取文本/200个成长思维.txt","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-MDL-005","外部知识/_pdf提取文本/208个管理思维.txt","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-MDL-006","外部知识/_pdf提取文本/318个管理思维.txt","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-MDL-007","外部知识/_pdf提取文本/带团队的底层逻辑1.txt","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-MDL-008","外部知识/_pdf提取文本/带团队的底层逻辑2.txt","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-MDL-001","外部知识/_pdf提取文本/沟通高手上.txt","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-MDL-002","外部知识/_pdf提取文本/沟通高手中.txt","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-MDL-003","外部知识/_pdf提取文本/沟通朗读练习稿.txt","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-003","外部知识/思想模型-成长/_200个成长思维_全量索引.md","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-004","外部知识/思想模型-成长/EXT-20260708-001_刻意练习.md","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-005","外部知识/思想模型-成长/EXT-20260708-002_学习金字塔与721法则.md","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-006","外部知识/思想模型-成长/EXT-20260708-003_第一性原理与杠杆思维.md","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-007","外部知识/思想模型-成长/EXT-20260708-004_达克效应与空雨伞模型.md","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-008","外部知识/思想模型-成长/EXT-20260708-005_GROW模型与福格行为模型.md","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-009","外部知识/思想模型-成长/EXT-20260709-013_NLP逻辑层级与乔哈里视窗.md","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-010","外部知识/思想模型-成长/EXT-20260709-014_ORID与设计思维.md","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-011","外部知识/思想模型-成长/EXT-20260709-015_101010旁观与多元思维.md","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-012","外部知识/思想模型-成长/EXT-20260709-016_情绪ABC与系统思维.md","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-013","外部知识/思想模型-成长/EXT-20260709-017_MVP思维与四象限矩阵.md","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-014","外部知识/思想模型-成长/EXT-20260709-018_心流与批判性思维.md","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-015","外部知识/思想模型-沟通/EXT-20260707-001_3F倾听法.md","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-016","外部知识/思想模型-沟通/EXT-20260707-002_倒置沟通漏斗.md","外部研究素材","待补","候选","脚本生成，待人工确认"
"SRC-EXT-017","外部知识/思想模型-沟通/EXT-20260707-003_5W1H与5Why双模型.md","外部研究素材","待补","候选","脚本生成，待人工确认"
